Response to campaign,Pre-campaign expenditure,Pre-campaign visits,Pre-campaign visits category,Post-campaign visits,Post-campaign spend category,Post-campaign visit category,Gender,Age
Responder,86,10,5 Or More Visits,2,Under £50,2 Visits,Male,57
Responder,370,11,5 Or More Visits,1,Under £50,1 Visit,Male,60
Responder,78,11,5 Or More Visits,1,Under £50,1 Visit,Female,63
Responder,67,9,5 Or More Visits,3,Under £50,3 Visits,Male,66
Non-responder,102,12,5 Or More Visits,0,Under £50,No Visits,Male,68
Non-responder,68,12,5 Or More Visits,0,Under £50,No Visits,Male,73
Responder,167,6,5 Or More Visits,6,£50-£100,5 Or More Visits,Female,76
Responder,161,10,5 Or More Visits,1,Under £50,1 Visit,Female,28
Responder,82,9,5 Or More Visits,2,Under £50,2 Visits,Male,29
Responder,55,7,5 Or More Visits,4,£50-£100,4 Visits,Male,29
Non-responder,126,11,5 Or More Visits,0,Under £50,No Visits,Female,30
Responder,96,4,4 Visits,7,£200-£250,5 Or More Visits,Male,30
Responder,71,5,5 Or More Visits,6,£50-£100,5 Or More Visits,Male,30
Responder,75,9,5 Or More Visits,2,Under £50,2 Visits,Male,33
Responder,104,9,5 Or More Visits,2,Under £50,2 Visits,Male,33
Non-responder,177,11,5 Or More Visits,0,Under £50,No Visits,Male,35
Non-responder,74,11,5 Or More Visits,0,Under £50,No Visits,Male,36
Responder,332,8,5 Or More Visits,3,Under £50,3 Visits,Male,37
Responder,110,7,5 Or More Visits,4,£100-£150,4 Visits,Male,39
Responder,53,4,4 Visits,7,Under £50,5 Or More Visits,Female,40
Responder,353,10,5 Or More Visits,1,Under £50,1 Visit,Male,40
Responder,68,7,5 Or More Visits,4,Under £50,4 Visits,Male,41
Responder,74,7,5 Or More Visits,4,Under £50,4 Visits,Male,41
Responder,81,9,5 Or More Visits,2,Under £50,2 Visits,Male,43
Responder,67,9,5 Or More Visits,2,Under £50,2 Visits,Female,44
Responder,46,7,5 Or More Visits,4,Under £50,4 Visits,Male,44
Responder,65,5,5 Or More Visits,6,£150-200,5 Or More Visits,Male,47
Responder,79,8,5 Or More Visits,3,Under £50,3 Visits,Male,47
Responder,98,9,5 Or More Visits,2,Under £50,2 Visits,Male,48
Responder,189,8,5 Or More Visits,3,£50-£100,3 Visits,Female,49
Responder,90,8,5 Or More Visits,3,Under £50,3 Visits,Male,52
Responder,60,7,5 Or More Visits,4,£50-£100,4 Visits,Male,52
Responder,94,5,5 Or More Visits,6,Under £50,5 Or More Visits,Male,54
Responder,74,7,5 Or More Visits,4,Under £50,4 Visits,Female,58
Responder,81,10,5 Or More Visits,1,Under £50,1 Visit,Male,58
Responder,87,6,5 Or More Visits,5,£50-£100,5 Or More Visits,Male,59
Responder,58,4,4 Visits,7,£50-£100,5 Or More Visits,Male,59
Responder,69,6,5 Or More Visits,5,£100-£150,5 Or More Visits,Female,60
Responder,94,9,5 Or More Visits,2,Under £50,2 Visits,Male,60
Responder,78,8,5 Or More Visits,3,Under £50,3 Visits,Male,62
Responder,151,9,5 Or More Visits,2,Under £50,2 Visits,Male,63
Responder,107,10,5 Or More Visits,1,Under £50,1 Visit,Male,63
Responder,56,9,5 Or More Visits,2,Under £50,2 Visits,Male,65
Non-responder,93,11,5 Or More Visits,0,Under £50,No Visits,Male,68
Responder,83,6,5 Or More Visits,5,£50-£100,5 Or More Visits,Male,69
Non-responder,76,10,5 Or More Visits,0,Under £50,No Visits,Male,25
Non-responder,77,10,5 Or More Visits,0,Under £50,No Visits,Male,25
Non-responder,86,10,5 Or More Visits,0,Under £50,No Visits,Male,26
Responder,77,6,5 Or More Visits,4,Under £50,4 Visits,Male,27
Responder,69,5,5 Or More Visits,5,£100-£150,5 Or More Visits,Male,30
Non-responder,89,10,5 Or More Visits,0,Under £50,No Visits,Male,32
Responder,66,9,5 Or More Visits,1,Under £50,1 Visit,Female,33
Responder,119,7,5 Or More Visits,3,Under £50,3 Visits,Female,33
Responder,52,5,5 Or More Visits,5,Under £50,5 Or More Visits,Female,34
Non-responder,89,10,5 Or More Visits,0,Under £50,No Visits,Male,34
Non-responder,208,10,5 Or More Visits,0,Under £50,No Visits,Female,36
Non-responder,60,10,5 Or More Visits,0,Under £50,No Visits,Male,36
Non-responder,88,10,5 Or More Visits,0,Under £50,No Visits,Male,38
Non-responder,69,10,5 Or More Visits,0,Under £50,No Visits,Male,39
Responder,63,7,5 Or More Visits,3,Under £50,3 Visits,Female,40
Responder,97,8,5 Or More Visits,2,Under £50,2 Visits,Male,40
Responder,79,7,5 Or More Visits,3,Under £50,3 Visits,Male,40
Responder,96,8,5 Or More Visits,2,Under £50,2 Visits,Female,42
Responder,88,9,5 Or More Visits,1,Under £50,1 Visit,Female,43
Responder,86,7,5 Or More Visits,3,Under £50,3 Visits,Female,45
Responder,106,8,5 Or More Visits,2,Under £50,2 Visits,Male,45
Responder,58,9,5 Or More Visits,1,Under £50,1 Visit,Male,45
Non-responder,145,10,5 Or More Visits,0,Under £50,No Visits,Male,45
Responder,54,6,5 Or More Visits,4,Under £50,4 Visits,Male,46
Responder,80,4,4 Visits,6,£150-200,5 Or More Visits,Male,46
Responder,96,5,5 Or More Visits,5,£50-£100,5 Or More Visits,Male,46
Non-responder,90,10,5 Or More Visits,0,Under £50,No Visits,Male,48
Responder,75,5,5 Or More Visits,5,£150-200,5 Or More Visits,Male,52
Responder,55,9,5 Or More Visits,1,Under £50,1 Visit,Male,52
Non-responder,302,10,5 Or More Visits,0,Under £50,No Visits,Male,54
Non-responder,98,10,5 Or More Visits,0,Under £50,No Visits,Male,55
Non-responder,88,10,5 Or More Visits,0,Under £50,No Visits,Male,56
Non-responder,74,10,5 Or More Visits,0,Under £50,No Visits,Male,59
Responder,134,8,5 Or More Visits,2,Under £50,2 Visits,Male,60
Responder,123,6,5 Or More Visits,4,Over £300,4 Visits,Male,61
Responder,137,9,5 Or More Visits,1,Under £50,1 Visit,Male,62
Responder,98,7,5 Or More Visits,3,Under £50,3 Visits,Male,62
Responder,97,6,5 Or More Visits,4,£50-£100,4 Visits,Male,66
Responder,94,9,5 Or More Visits,1,Under £50,1 Visit,Female,69
Non-responder,87,10,5 Or More Visits,0,Under £50,No Visits,Male,70
Responder,86,9,5 Or More Visits,1,Under £50,1 Visit,Female,71
Non-responder,85,10,5 Or More Visits,0,Under £50,No Visits,Male,71
Non-responder,79,10,5 Or More Visits,0,Under £50,No Visits,Male,76
Non-responder,103,10,5 Or More Visits,0,Under £50,No Visits,Male,92
Responder,121,6,5 Or More Visits,3,Under £50,3 Visits,Male,25
Non-responder,97,9,5 Or More Visits,0,Under £50,No Visits,Female,27
Non-responder,86,9,5 Or More Visits,0,Under £50,No Visits,Female,29
Non-responder,70,9,5 Or More Visits,0,Under £50,No Visits,Male,30
Responder,54,3,3 Visits,6,Under £50,5 Or More Visits,Female,31
Responder,93,8,5 Or More Visits,1,Under £50,1 Visit,Male,31
Non-responder,80,9,5 Or More Visits,0,Under £50,No Visits,Male,31
Non-responder,64,9,5 Or More Visits,0,Under £50,No Visits,Male,31
Responder,128,5,5 Or More Visits,4,Under £50,4 Visits,Female,32
Responder,63,7,5 Or More Visits,2,Under £50,2 Visits,Male,32
Responder,98,7,5 Or More Visits,2,Under £50,2 Visits,Male,32
Non-responder,51,9,5 Or More Visits,0,Under £50,No Visits,Male,32
Responder,92,8,5 Or More Visits,1,Under £50,1 Visit,Male,33
Responder,511,6,5 Or More Visits,3,£50-£100,3 Visits,Female,34
Responder,73,7,5 Or More Visits,2,Under £50,2 Visits,Male,34
Non-responder,143,9,5 Or More Visits,0,Under £50,No Visits,Male,34
Non-responder,61,9,5 Or More Visits,0,Under £50,No Visits,Male,34
Non-responder,50,9,5 Or More Visits,0,Under £50,No Visits,Male,36
Non-responder,74,9,5 Or More Visits,0,Under £50,No Visits,Male,37
Non-responder,96,9,5 Or More Visits,0,Under £50,No Visits,Male,37
Responder,67,8,5 Or More Visits,1,Under £50,1 Visit,Female,38
Responder,97,6,5 Or More Visits,3,Under £50,3 Visits,Male,39
Responder,95,8,5 Or More Visits,1,Under £50,1 Visit,Male,40
Responder,79,6,5 Or More Visits,3,£50-£100,3 Visits,Male,42
Non-responder,91,9,5 Or More Visits,0,Under £50,No Visits,Male,42
Responder,72,7,5 Or More Visits,2,Under £50,2 Visits,Male,43
Responder,64,7,5 Or More Visits,2,Under £50,2 Visits,Male,43
Non-responder,79,9,5 Or More Visits,0,Under £50,No Visits,Male,43
Responder,72,3,3 Visits,6,£50-£100,5 Or More Visits,Female,44
Responder,74,6,5 Or More Visits,3,Under £50,3 Visits,Male,44
Responder,78,6,5 Or More Visits,3,Under £50,3 Visits,Male,44
Responder,89,6,5 Or More Visits,3,£150-200,3 Visits,Female,45
Responder,83,7,5 Or More Visits,2,Under £50,2 Visits,Female,46
Non-responder,129,9,5 Or More Visits,0,Under £50,No Visits,Male,46
Non-responder,95,9,5 Or More Visits,0,Under £50,No Visits,Female,47
Responder,68,8,5 Or More Visits,1,Under £50,1 Visit,Male,47
Responder,108,7,5 Or More Visits,2,£50-£100,2 Visits,Male,48
Responder,87,8,5 Or More Visits,1,Under £50,1 Visit,Male,48
Non-responder,120,9,5 Or More Visits,0,Under £50,No Visits,Male,49
Non-responder,55,9,5 Or More Visits,0,Under £50,No Visits,Male,49
Responder,155,7,5 Or More Visits,2,Under £50,2 Visits,Female,50
Responder,85,3,3 Visits,6,Under £50,5 Or More Visits,Female,50
Responder,98,2,2 Visits,7,£200-£250,5 Or More Visits,Male,50
Responder,141,5,5 Or More Visits,4,£50-£100,4 Visits,Male,51
Responder,91,6,5 Or More Visits,3,Under £50,3 Visits,Female,52
Responder,70,6,5 Or More Visits,3,Under £50,3 Visits,Female,52
