Response to campaign,Pre-campaign expenditure,Pre-campaign visits,Pre-campaign visits category,Post-campaign visits,Post-campaign spend category,Post-campaign visit category,Gender,Age
Responder,80,5,5 Or More Visits,2,Under £50,2 Visits,Female,43
Responder,110,5,5 Or More Visits,2,Under £50,2 Visits,Male,43
Responder,71,6,5 Or More Visits,1,Under £50,1 Visit,Male,43
Non-responder,74,7,5 Or More Visits,0,Under £50,No Visits,Female,44
Non-responder,58,7,5 Or More Visits,0,Under £50,No Visits,Male,44
Responder,56,3,3 Visits,4,£50-£100,4 Visits,Female,45
Responder,123,6,5 Or More Visits,1,Under £50,1 Visit,Male,45
Responder,42,6,5 Or More Visits,1,Under £50,1 Visit,Male,45
Non-responder,75,7,5 Or More Visits,0,Under £50,No Visits,Male,46
Responder,99,5,5 Or More Visits,2,£50-£100,2 Visits,Female,47
Responder,31,6,5 Or More Visits,1,Under £50,1 Visit,Male,47
Responder,87,6,5 Or More Visits,1,Under £50,1 Visit,Male,47
Non-responder,74,7,5 Or More Visits,0,Under £50,No Visits,Male,47
Responder,58,4,4 Visits,3,£50-£100,3 Visits,Female,48
Non-responder,77,7,5 Or More Visits,0,Under £50,No Visits,Male,48
Non-responder,93,7,5 Or More Visits,0,Under £50,No Visits,Male,50
Non-responder,54,7,5 Or More Visits,0,Under £50,No Visits,Male,50
Responder,102,6,5 Or More Visits,1,Under £50,1 Visit,Female,51
Responder,91,6,5 Or More Visits,1,£50-£100,1 Visit,Male,51
Responder,52,2,2 Visits,5,Over £300,5 Or More Visits,Male,52
Responder,92,2,2 Visits,5,Under £50,5 Or More Visits,Male,52
Responder,97,6,5 Or More Visits,1,Under £50,1 Visit,Male,52
Non-responder,175,7,5 Or More Visits,0,Under £50,No Visits,Male,52
Responder,57,6,5 Or More Visits,1,£50-£100,1 Visit,Female,53
Responder,66,3,3 Visits,4,Under £50,4 Visits,Male,53
Responder,75,5,5 Or More Visits,2,£50-£100,2 Visits,Female,54
Responder,74,6,5 Or More Visits,1,Under £50,1 Visit,Male,54
Responder,97,4,4 Visits,3,£50-£100,3 Visits,Male,55
Responder,266,5,5 Or More Visits,2,Under £50,2 Visits,Male,56
Responder,98,3,3 Visits,4,£50-£100,4 Visits,Male,57
Responder,66,5,5 Or More Visits,2,Under £50,2 Visits,Male,58
Responder,63,4,4 Visits,3,Under £50,3 Visits,Male,58
Responder,117,5,5 Or More Visits,2,£50-£100,2 Visits,Male,59
Responder,101,6,5 Or More Visits,1,Under £50,1 Visit,Male,60
Responder,100,5,5 Or More Visits,2,£100-£150,2 Visits,Male,62
Responder,69,3,3 Visits,4,£50-£100,4 Visits,Female,63
Responder,38,6,5 Or More Visits,1,Under £50,1 Visit,Female,63
Responder,98,6,5 Or More Visits,1,Under £50,1 Visit,Male,65
Responder,47,4,4 Visits,3,Under £50,3 Visits,Male,65
Non-responder,79,7,5 Or More Visits,0,Under £50,No Visits,Male,66
Responder,73,5,5 Or More Visits,2,Under £50,2 Visits,Male,67
Responder,118,5,5 Or More Visits,2,Under £50,2 Visits,Male,67
Responder,62,6,5 Or More Visits,1,Under £50,1 Visit,Male,68
Responder,62,2,2 Visits,5,Under £50,5 Or More Visits,Male,69
Responder,91,4,4 Visits,3,£50-£100,3 Visits,Male,70
Responder,55,6,5 Or More Visits,1,Under £50,1 Visit,Female,72
Responder,73,4,4 Visits,3,£200-£250,3 Visits,Male,72
Non-responder,79,7,5 Or More Visits,0,Under £50,No Visits,Male,92
Responder,61,4,4 Visits,2,Under £50,2 Visits,Male,21
Non-responder,54,6,5 Or More Visits,0,Under £50,No Visits,Male,22
Non-responder,117,6,5 Or More Visits,0,Under £50,No Visits,Female,23
Non-responder,70,6,5 Or More Visits,0,Under £50,No Visits,Female,23
Non-responder,98,6,5 Or More Visits,0,Under £50,No Visits,Female,23
Non-responder,85,6,5 Or More Visits,0,Under £50,No Visits,Female,23
Responder,61,1,1 Visit,5,£100-£150,5 Or More Visits,Male,23
Responder,96,5,5 Or More Visits,1,Under £50,1 Visit,Male,23
Responder,32,5,5 Or More Visits,1,Under £50,1 Visit,Female,24
Responder,92,5,5 Or More Visits,1,Under £50,1 Visit,Male,24
Non-responder,182,6,5 Or More Visits,0,Under £50,No Visits,Male,24
Responder,67,3,3 Visits,3,£50-£100,3 Visits,Female,25
Non-responder,251,6,5 Or More Visits,0,Under £50,No Visits,Male,25
Responder,71,5,5 Or More Visits,1,Under £50,1 Visit,Female,26
Non-responder,70,6,5 Or More Visits,0,Under £50,No Visits,Female,26
Non-responder,86,6,5 Or More Visits,0,Under £50,No Visits,Female,27
Responder,94,5,5 Or More Visits,1,Under £50,1 Visit,Male,27
Responder,71,5,5 Or More Visits,1,Under £50,1 Visit,Male,27
Non-responder,52,6,5 Or More Visits,0,Under £50,No Visits,Male,27
Non-responder,83,6,5 Or More Visits,0,Under £50,No Visits,Male,27
Non-responder,74,6,5 Or More Visits,0,Under £50,No Visits,Male,27
Responder,88,5,5 Or More Visits,1,Under £50,1 Visit,Female,28
Non-responder,78,6,5 Or More Visits,0,Under £50,No Visits,Female,28
Non-responder,51,6,5 Or More Visits,0,Under £50,No Visits,Female,28
Responder,56,4,4 Visits,2,£50-£100,2 Visits,Male,28
Non-responder,90,6,5 Or More Visits,0,Under £50,No Visits,Female,29
Responder,36,4,4 Visits,2,Under £50,2 Visits,Male,29
Responder,83,3,3 Visits,3,Under £50,3 Visits,Male,29
Non-responder,54,6,5 Or More Visits,0,Under £50,No Visits,Female,30
Non-responder,72,6,5 Or More Visits,0,Under £50,No Visits,Female,30
Non-responder,66,6,5 Or More Visits,0,Under £50,No Visits,Female,30
Responder,85,4,4 Visits,2,£50-£100,2 Visits,Female,31
Non-responder,78,6,5 Or More Visits,0,Under £50,No Visits,Female,31
Non-responder,106,6,5 Or More Visits,0,Under £50,No Visits,Female,31
Responder,30,4,4 Visits,2,Under £50,2 Visits,Male,31
Non-responder,83,6,5 Or More Visits,0,Under £50,No Visits,Male,31
Non-responder,83,6,5 Or More Visits,0,Under £50,No Visits,Male,31
Non-responder,81,6,5 Or More Visits,0,Under £50,No Visits,Male,31
Non-responder,92,6,5 Or More Visits,0,Under £50,No Visits,Female,32
Non-responder,77,6,5 Or More Visits,0,Under £50,No Visits,Female,32
Responder,56,4,4 Visits,2,Under £50,2 Visits,Male,32
Responder,68,5,5 Or More Visits,1,Under £50,1 Visit,Male,32
Responder,66,4,4 Visits,2,Under £50,2 Visits,Male,32
Non-responder,94,6,5 Or More Visits,0,Under £50,No Visits,Male,32
Responder,76,5,5 Or More Visits,1,Under £50,1 Visit,Male,33
Responder,91,5,5 Or More Visits,1,Under £50,1 Visit,Male,33
Non-responder,76,6,5 Or More Visits,0,Under £50,No Visits,Male,33
Responder,21,2,2 Visits,4,£50-£100,4 Visits,Male,34
Responder,97,3,3 Visits,3,Under £50,3 Visits,Male,34
Responder,62,5,5 Or More Visits,1,Under £50,1 Visit,Female,35
Responder,112,4,4 Visits,2,Under £50,2 Visits,Male,35
Non-responder,53,6,5 Or More Visits,0,Under £50,No Visits,Male,35
Non-responder,55,6,5 Or More Visits,0,Under £50,No Visits,Male,35
Non-responder,92,6,5 Or More Visits,0,Under £50,No Visits,Male,35
Responder,100,3,3 Visits,3,Under £50,3 Visits,Female,36
Responder,107,5,5 Or More Visits,1,Under £50,1 Visit,Male,36
Responder,85,4,4 Visits,2,Under £50,2 Visits,Male,36
Non-responder,64,6,5 Or More Visits,0,Under £50,No Visits,Male,36
Responder,94,4,4 Visits,2,Under £50,2 Visits,Female,37
Non-responder,71,6,5 Or More Visits,0,Under £50,No Visits,Female,37
Responder,80,5,5 Or More Visits,1,Under £50,1 Visit,Male,37
Non-responder,69,6,5 Or More Visits,0,Under £50,No Visits,Male,37
Non-responder,51,6,5 Or More Visits,0,Under £50,No Visits,Male,37
Non-responder,81,6,5 Or More Visits,0,Under £50,No Visits,Male,37
Responder,79,4,4 Visits,2,Under £50,2 Visits,Male,38
Non-responder,61,6,5 Or More Visits,0,Under £50,No Visits,Female,39
Responder,97,5,5 Or More Visits,1,Under £50,1 Visit,Male,39
Responder,65,5,5 Or More Visits,1,Under £50,1 Visit,Male,39
Non-responder,97,6,5 Or More Visits,0,Under £50,No Visits,Male,39
Responder,100,5,5 Or More Visits,1,Under £50,1 Visit,Female,40
Responder,58,1,1 Visit,5,£150-200,5 Or More Visits,Male,40
Non-responder,91,6,5 Or More Visits,0,Under £50,No Visits,Male,41
Responder,55,4,4 Visits,2,Under £50,2 Visits,Male,42
Responder,42,4,4 Visits,2,£50-£100,2 Visits,Male,42
Non-responder,68,6,5 Or More Visits,0,Under £50,No Visits,Male,42
Non-responder,61,6,5 Or More Visits,0,Under £50,No Visits,Male,42
Non-responder,85,6,5 Or More Visits,0,Under £50,No Visits,Female,43
Responder,90,5,5 Or More Visits,1,Under £50,1 Visit,Male,44
Non-responder,63,6,5 Or More Visits,0,Under £50,No Visits,Male,45
Non-responder,86,6,5 Or More Visits,0,Under £50,No Visits,Male,45
Non-responder,61,6,5 Or More Visits,0,Under £50,No Visits,Male,45
Responder,50,5,5 Or More Visits,1,Under £50,1 Visit,Male,46
Non-responder,78,6,5 Or More Visits,0,Under £50,No Visits,Male,46
Non-responder,68,6,5 Or More Visits,0,Under £50,No Visits,Male,48
Responder,62,5,5 Or More Visits,1,Under £50,1 Visit,Female,49
Responder,56,4,4 Visits,2,Under £50,2 Visits,Female,49
Responder,82,4,4 Visits,2,Under £50,2 Visits,Female,49
Responder,97,3,3 Visits,3,Under £50,3 Visits,Female,50
Non-responder,79,6,5 Or More Visits,0,Under £50,No Visits,Male,50
Non-responder,55,6,5 Or More Visits,0,Under £50,No Visits,Male,50
Non-responder,286,6,5 Or More Visits,0,Under £50,No Visits,Female,51
Responder,65,5,5 Or More Visits,1,Under £50,1 Visit,Male,51
Responder,96,5,5 Or More Visits,1,Under £50,1 Visit,Male,51
Responder,65,4,4 Visits,2,£50-£100,2 Visits,Male,51
Responder,83,4,4 Visits,2,Under £50,2 Visits,Male,51
Non-responder,91,6,5 Or More Visits,0,Under £50,No Visits,Male,51
Responder,79,4,4 Visits,2,£100-£150,2 Visits,Male,53
Responder,114,5,5 Or More Visits,1,Under £50,1 Visit,Female,54
Responder,80,4,4 Visits,2,Under £50,2 Visits,Male,54
Non-responder,101,6,5 Or More Visits,0,Under £50,No Visits,Male,54
Non-responder,52,6,5 Or More Visits,0,Under £50,No Visits,Male,54
Non-responder,61,6,5 Or More Visits,0,Under £50,No Visits,Male,55
Non-responder,79,6,5 Or More Visits,0,Under £50,No Visits,Male,55
Non-responder,99,6,5 Or More Visits,0,Under £50,No Visits,Male,55
Responder,72,3,3 Visits,3,£100-£150,3 Visits,Female,56
Responder,61,4,4 Visits,2,Under £50,2 Visits,Male,56
Responder,65,2,2 Visits,4,Under £50,4 Visits,Male,56
Responder,72,1,1 Visit,5,Under £50,5 Or More Visits,Male,56
Responder,90,1,1 Visit,5,£150-200,5 Or More Visits,Male,56
Non-responder,59,6,5 Or More Visits,0,Under £50,No Visits,Male,56
Responder,75,4,4 Visits,2,Under £50,2 Visits,Male,57
Responder,94,5,5 Or More Visits,1,Under £50,1 Visit,Male,57
Non-responder,83,6,5 Or More Visits,0,Under £50,No Visits,Male,57
Non-responder,75,6,5 Or More Visits,0,Under £50,No Visits,Male,57
Non-responder,70,6,5 Or More Visits,0,Under £50,No Visits,Female,58
Non-responder,50,6,5 Or More Visits,0,Under £50,No Visits,Female,59
Non-responder,60,6,5 Or More Visits,0,Under £50,No Visits,Male,59
Responder,41,4,4 Visits,2,Under £50,2 Visits,Male,60
Responder,88,5,5 Or More Visits,1,Under £50,1 Visit,Male,60
Non-responder,81,6,5 Or More Visits,0,Under £50,No Visits,Female,61
Responder,99,4,4 Visits,2,£100-£150,2 Visits,Male,61
Responder,54,4,4 Visits,2,£50-£100,2 Visits,Male,62
Responder,54,5,5 Or More Visits,1,Under £50,1 Visit,Male,62
Responder,129,5,5 Or More Visits,1,Under £50,1 Visit,Male,63
Responder,95,4,4 Visits,2,Under £50,2 Visits,Male,63
Non-responder,76,6,5 Or More Visits,0,Under £50,No Visits,Female,64
Responder,20,5,5 Or More Visits,1,Under £50,1 Visit,Male,64
Responder,78,5,5 Or More Visits,1,Under £50,1 Visit,Male,64
Responder,77,5,5 Or More Visits,1,Under £50,1 Visit,Male,64
Responder,99,4,4 Visits,2,Under £50,2 Visits,Male,65
Responder,85,5,5 Or More Visits,1,Under £50,1 Visit,Male,65
Responder,56,5,5 Or More Visits,1,Under £50,1 Visit,Male,65
Responder,59,4,4 Visits,2,Under £50,2 Visits,Male,65
Responder,63,4,4 Visits,2,Under £50,2 Visits,Male,65
Non-responder,61,6,5 Or More Visits,0,Under £50,No Visits,Male,65
Responder,93,2,2 Visits,4,£50-£100,4 Visits,Male,66
Responder,95,5,5 Or More Visits,1,Under £50,1 Visit,Male,67
Non-responder,68,6,5 Or More Visits,0,Under £50,No Visits,Female,68
Responder,105,5,5 Or More Visits,1,Under £50,1 Visit,Male,68
Responder,50,5,5 Or More Visits,1,Under £50,1 Visit,Female,71
Responder,89,5,5 Or More Visits,1,Under £50,1 Visit,Male,73
Responder,69,4,4 Visits,2,£50-£100,2 Visits,Female,74
Non-responder,52,6,5 Or More Visits,0,Under £50,No Visits,Male,75
Non-responder,64,6,5 Or More Visits,0,Under £50,No Visits,Male,76
Non-responder,70,5,5 Or More Visits,0,Under £50,No Visits,Male,20
Responder,95,4,4 Visits,1,Under £50,1 Visit,Male,21
Non-responder,77,5,5 Or More Visits,0,Under £50,No Visits,Male,21
Responder,35,1,1 Visit,4,£50-£100,4 Visits,Female,22
Non-responder,60,5,5 Or More Visits,0,Under £50,No Visits,Female,23
Non-responder,51,5,5 Or More Visits,0,Under £50,No Visits,Female,24
Responder,50,3,3 Visits,2,Under £50,2 Visits,Male,25
Responder,17,1,1 Visit,4,Under £50,4 Visits,Male,25
Responder,17,4,4 Visits,1,Under £50,1 Visit,Female,27
Non-responder,85,5,5 Or More Visits,0,Under £50,No Visits,Male,27
Non-responder,92,5,5 Or More Visits,0,Under £50,No Visits,Male,27
Responder,87,3,3 Visits,2,Under £50,2 Visits,Female,28
Non-responder,71,5,5 Or More Visits,0,Under £50,No Visits,Male,28
Responder,70,3,3 Visits,2,Under £50,2 Visits,Female,29
Responder,105,4,4 Visits,1,Under £50,1 Visit,Female,29
Non-responder,54,5,5 Or More Visits,0,Under £50,No Visits,Male,29
Non-responder,84,5,5 Or More Visits,0,Under £50,No Visits,Male,29
Non-responder,86,5,5 Or More Visits,0,Under £50,No Visits,Male,29
Non-responder,83,5,5 Or More Visits,0,Under £50,No Visits,Male,29
Responder,57,4,4 Visits,1,Under £50,1 Visit,Female,30
Responder,76,2,2 Visits,3,Under £50,3 Visits,Female,30
Responder,60,1,1 Visit,4,£50-£100,4 Visits,Female,30
Non-responder,76,5,5 Or More Visits,0,Under £50,No Visits,Male,30
Non-responder,59,5,5 Or More Visits,0,Under £50,No Visits,Male,30
Responder,61,1,1 Visit,4,£50-£100,4 Visits,Female,31
Non-responder,97,5,5 Or More Visits,0,Under £50,No Visits,Female,31
Non-responder,85,5,5 Or More Visits,0,Under £50,No Visits,Female,31
Non-responder,58,5,5 Or More Visits,0,Under £50,No Visits,Female,31
Responder,90,4,4 Visits,1,Under £50,1 Visit,Male,31
Responder,65,3,3 Visits,2,Under £50,2 Visits,Male,31
Non-responder,71,5,5 Or More Visits,0,Under £50,No Visits,Female,32
Non-responder,92,5,5 Or More Visits,0,Under £50,No Visits,Female,32
Non-responder,69,5,5 Or More Visits,0,Under £50,No Visits,Female,32
Non-responder,76,5,5 Or More Visits,0,Under £50,No Visits,Female,32
Responder,89,3,3 Visits,2,Under £50,2 Visits,Male,32
Non-responder,86,5,5 Or More Visits,0,Under £50,No Visits,Male,32
Non-responder,31,5,5 Or More Visits,0,Under £50,No Visits,Male,32
Non-responder,72,5,5 Or More Visits,0,Under £50,No Visits,Male,32
Responder,58,2,2 Visits,3,£200-£250,3 Visits,Female,33
Responder,112,4,4 Visits,1,Under £50,1 Visit,Female,33
Non-responder,58,5,5 Or More Visits,0,Under £50,No Visits,Female,33
Non-responder,163,5,5 Or More Visits,0,Under £50,No Visits,Female,33
Responder,72,4,4 Visits,1,Under £50,1 Visit,Male,33
Non-responder,51,5,5 Or More Visits,0,Under £50,No Visits,Male,33
Non-responder,59,5,5 Or More Visits,0,Under £50,No Visits,Male,33
Non-responder,84,5,5 Or More Visits,0,Under £50,No Visits,Female,34
Responder,58,4,4 Visits,1,Under £50,1 Visit,Male,34
Non-responder,69,5,5 Or More Visits,0,Under £50,No Visits,Male,34
Responder,94,4,4 Visits,1,Under £50,1 Visit,Female,35
Non-responder,94,5,5 Or More Visits,0,Under £50,No Visits,Female,35
Responder,71,4,4 Visits,1,Under £50,1 Visit,Male,35
Non-responder,82,5,5 Or More Visits,0,Under £50,No Visits,Male,35
Non-responder,89,5,5 Or More Visits,0,Under £50,No Visits,Male,35
Responder,96,4,4 Visits,1,£100-£150,1 Visit,Female,36
Non-responder,82,5,5 Or More Visits,0,Under £50,No Visits,Female,36
Responder,200,2,2 Visits,3,£200-£250,3 Visits,Male,36
Responder,80,1,1 Visit,4,£50-£100,4 Visits,Male,36
Responder,60,4,4 Visits,1,Under £50,1 Visit,Male,36
Non-responder,73,5,5 Or More Visits,0,Under £50,No Visits,Male,36
Non-responder,93,5,5 Or More Visits,0,Under £50,No Visits,Male,36
Non-responder,85,5,5 Or More Visits,0,Under £50,No Visits,Male,36
Responder,53,4,4 Visits,1,Under £50,1 Visit,Female,37
Non-responder,90,5,5 Or More Visits,0,Under £50,No Visits,Female,37
Non-responder,61,5,5 Or More Visits,0,Under £50,No Visits,Female,37
Responder,53,4,4 Visits,1,£50-£100,1 Visit,Male,37
Responder,81,4,4 Visits,1,£50-£100,1 Visit,Male,37
Responder,67,4,4 Visits,1,Under £50,1 Visit,Male,37
Responder,106,4,4 Visits,1,Under £50,1 Visit,Male,37
Responder,98,2,2 Visits,3,Under £50,3 Visits,Male,37
Non-responder,82,5,5 Or More Visits,0,Under £50,No Visits,Male,37
Non-responder,86,5,5 Or More Visits,0,Under £50,No Visits,Male,37
Non-responder,82,5,5 Or More Visits,0,Under £50,No Visits,Male,37
Non-responder,64,5,5 Or More Visits,0,Under £50,No Visits,Female,38
Responder,76,2,2 Visits,3,£100-£150,3 Visits,Male,38
Non-responder,74,5,5 Or More Visits,0,Under £50,No Visits,Male,38
Non-responder,64,5,5 Or More Visits,0,Under £50,No Visits,Male,38
Non-responder,100,5,5 Or More Visits,0,Under £50,No Visits,Female,39
Responder,84,3,3 Visits,2,£50-£100,2 Visits,Male,39
Responder,63,4,4 Visits,1,Under £50,1 Visit,Male,39
Responder,334,4,4 Visits,1,Under £50,1 Visit,Male,39
Non-responder,74,5,5 Or More Visits,0,Under £50,No Visits,Male,39
Non-responder,370,5,5 Or More Visits,0,Under £50,No Visits,Male,39
Non-responder,161,5,5 Or More Visits,0,Under £50,No Visits,Female,40
Non-responder,82,5,5 Or More Visits,0,Under £50,No Visits,Female,40
Non-responder,134,5,5 Or More Visits,0,Under £50,No Visits,Male,40
Non-responder,78,5,5 Or More Visits,0,Under £50,No Visits,Female,41
Non-responder,77,5,5 Or More Visits,0,Under £50,No Visits,Female,41
Non-responder,83,5,5 Or More Visits,0,Under £50,No Visits,Female,41
Responder,60,3,3 Visits,2,Under £50,2 Visits,Male,41
Non-responder,107,5,5 Or More Visits,0,Under £50,No Visits,Male,41
Responder,53,4,4 Visits,1,Under £50,1 Visit,Female,42
Responder,95,4,4 Visits,1,Under £50,1 Visit,Female,42
Responder,62,4,4 Visits,1,Under £50,1 Visit,Male,42
Responder,87,4,4 Visits,1,Under £50,1 Visit,Male,42
Responder,99,4,4 Visits,1,Under £50,1 Visit,Male,42
Responder,51,2,2 Visits,3,£50-£100,3 Visits,Male,42
Non-responder,52,5,5 Or More Visits,0,Under £50,No Visits,Male,42
Non-responder,108,5,5 Or More Visits,0,Under £50,No Visits,Male,42
Responder,93,4,4 Visits,1,Under £50,1 Visit,Female,43
Non-responder,91,5,5 Or More Visits,0,Under £50,No Visits,Female,43
Non-responder,51,5,5 Or More Visits,0,Under £50,No Visits,Female,43
Non-responder,84,5,5 Or More Visits,0,Under £50,No Visits,Male,43
Non-responder,80,5,5 Or More Visits,0,Under £50,No Visits,Male,43
Non-responder,88,5,5 Or More Visits,0,Under £50,No Visits,Male,43
Non-responder,95,5,5 Or More Visits,0,Under £50,No Visits,Female,44
Non-responder,67,5,5 Or More Visits,0,Under £50,No Visits,Male,44
Non-responder,280,5,5 Or More Visits,0,Under £50,No Visits,Male,44
Non-responder,96,5,5 Or More Visits,0,Under £50,No Visits,Male,44
Responder,83,2,2 Visits,3,Under £50,3 Visits,Male,45
Responder,78,3,3 Visits,2,Under £50,2 Visits,Male,45
Non-responder,115,5,5 Or More Visits,0,Under £50,No Visits,Male,45
Non-responder,64,5,5 Or More Visits,0,Under £50,No Visits,Female,46
Non-responder,56,5,5 Or More Visits,0,Under £50,No Visits,Male,46
Non-responder,74,5,5 Or More Visits,0,Under £50,No Visits,Male,46
Responder,51,2,2 Visits,3,£50-£100,3 Visits,Female,47
Responder,52,3,3 Visits,2,Under £50,2 Visits,Female,47
Responder,53,3,3 Visits,2,Under £50,2 Visits,Female,47
Non-responder,57,5,5 Or More Visits,0,Under £50,No Visits,Female,47
Non-responder,80,5,5 Or More Visits,0,Under £50,No Visits,Female,47
Non-responder,125,5,5 Or More Visits,0,Under £50,No Visits,Male,47
Non-responder,85,5,5 Or More Visits,0,Under £50,No Visits,Female,48
Non-responder,47,5,5 Or More Visits,0,Under £50,No Visits,Female,48
Responder,53,3,3 Visits,2,Under £50,2 Visits,Male,48
Responder,104,4,4 Visits,1,Under £50,1 Visit,Male,48
Responder,84,3,3 Visits,2,Under £50,2 Visits,Male,48
Non-responder,99,5,5 Or More Visits,0,Under £50,No Visits,Male,48
Non-responder,72,5,5 Or More Visits,0,Under £50,No Visits,Male,48
Responder,94,3,3 Visits,2,Under £50,2 Visits,Male,49
Responder,58,2,2 Visits,3,£200-£250,3 Visits,Female,50
Responder,78,1,1 Visit,4,Under £50,4 Visits,Male,50
Responder,57,4,4 Visits,1,£150-200,1 Visit,Male,50
Non-responder,265,5,5 Or More Visits,0,Under £50,No Visits,Male,50
Non-responder,80,5,5 Or More Visits,0,Under £50,No Visits,Male,50
Non-responder,107,5,5 Or More Visits,0,Under £50,No Visits,Female,51
Non-responder,97,5,5 Or More Visits,0,Under £50,No Visits,Female,51
Non-responder,53,5,5 Or More Visits,0,Under £50,No Visits,Female,51
Responder,55,3,3 Visits,2,Under £50,2 Visits,Male,51
Responder,48,4,4 Visits,1,Under £50,1 Visit,Male,51
Responder,65,3,3 Visits,2,Under £50,2 Visits,Male,51
Non-responder,67,5,5 Or More Visits,0,Under £50,No Visits,Male,51
Non-responder,70,5,5 Or More Visits,0,Under £50,No Visits,Male,51
Non-responder,65,5,5 Or More Visits,0,Under £50,No Visits,Male,51
Non-responder,33,5,5 Or More Visits,0,Under £50,No Visits,Female,52
Non-responder,93,5,5 Or More Visits,0,Under £50,No Visits,Female,52
Responder,31,4,4 Visits,1,Under £50,1 Visit,Male,52
Responder,93,3,3 Visits,2,Under £50,2 Visits,Male,52
Responder,76,4,4 Visits,1,Under £50,1 Visit,Male,52
Non-responder,94,5,5 Or More Visits,0,Under £50,No Visits,Male,52
Non-responder,40,5,5 Or More Visits,0,Under £50,No Visits,Female,53
Non-responder,83,5,5 Or More Visits,0,Under £50,No Visits,Male,53
Non-responder,95,5,5 Or More Visits,0,Under £50,No Visits,Male,53
Non-responder,54,5,5 Or More Visits,0,Under £50,No Visits,Male,54
Responder,64,4,4 Visits,1,Under £50,1 Visit,Male,55
Responder,65,3,3 Visits,2,Under £50,2 Visits,Male,55
Non-responder,94,5,5 Or More Visits,0,Under £50,No Visits,Male,55
Responder,95,3,3 Visits,2,Under £50,2 Visits,Female,56
Responder,20,4,4 Visits,1,Under £50,1 Visit,Female,56
Responder,73,4,4 Visits,1,Under £50,1 Visit,Male,56
Responder,63,2,2 Visits,3,Under £50,3 Visits,Male,56
Non-responder,63,5,5 Or More Visits,0,Under £50,No Visits,Male,56
Non-responder,75,5,5 Or More Visits,0,Under £50,No Visits,Female,57
Non-responder,64,5,5 Or More Visits,0,Under £50,No Visits,Female,57
Responder,93,4,4 Visits,1,Under £50,1 Visit,Male,57
Non-responder,93,5,5 Or More Visits,0,Under £50,No Visits,Male,57
Non-responder,89,5,5 Or More Visits,0,Under £50,No Visits,Male,57
Responder,57,3,3 Visits,2,Under £50,2 Visits,Male,59
Responder,83,1,1 Visit,4,Under £50,4 Visits,Male,60
Non-responder,109,5,5 Or More Visits,0,Under £50,No Visits,Male,60
Non-responder,75,5,5 Or More Visits,0,Under £50,No Visits,Male,60
Responder,76,3,3 Visits,2,£50-£100,2 Visits,Male,61
Non-responder,71,5,5 Or More Visits,0,Under £50,No Visits,Male,61
Non-responder,61,5,5 Or More Visits,0,Under £50,No Visits,Male,61
Responder,91,2,2 Visits,3,Under £50,3 Visits,Female,62
Non-responder,52,5,5 Or More Visits,0,Under £50,No Visits,Male,62
Non-responder,89,5,5 Or More Visits,0,Under £50,No Visits,Female,63
Responder,77,3,3 Visits,2,£50-£100,2 Visits,Male,63
Non-responder,69,5,5 Or More Visits,0,Under £50,No Visits,Female,64
Non-responder,50,5,5 Or More Visits,0,Under £50,No Visits,Male,65
Non-responder,88,5,5 Or More Visits,0,Under £50,No Visits,Male,66
Responder,62,4,4 Visits,1,Under £50,1 Visit,Male,67
Non-responder,63,5,5 Or More Visits,0,Under £50,No Visits,Male,67
Responder,87,3,3 Visits,2,Under £50,2 Visits,Male,68
Non-responder,76,5,5 Or More Visits,0,Under £50,No Visits,Male,68
Non-responder,78,5,5 Or More Visits,0,Under £50,No Visits,Male,68
Responder,76,4,4 Visits,1,Under £50,1 Visit,Male,69
Non-responder,58,5,5 Or More Visits,0,Under £50,No Visits,Male,69
Responder,63,3,3 Visits,2,Under £50,2 Visits,Female,70
Non-responder,78,5,5 Or More Visits,0,Under £50,No Visits,Female,70
Non-responder,60,5,5 Or More Visits,0,Under £50,No Visits,Male,70
Responder,71,4,4 Visits,1,Under £50,1 Visit,Male,71
Responder,78,1,1 Visit,4,£100-£150,4 Visits,Male,71
Non-responder,72,5,5 Or More Visits,0,Under £50,No Visits,Female,72
Responder,88,3,3 Visits,2,Under £50,2 Visits,Male,73
Responder,59,4,4 Visits,1,Under £50,1 Visit,Male,74
Non-responder,81,5,5 Or More Visits,0,Under £50,No Visits,Male,74
Responder,75,4,4 Visits,1,Under £50,1 Visit,Male,75
Non-responder,78,5,5 Or More Visits,0,Under £50,No Visits,Male,76
Non-responder,73,5,5 Or More Visits,0,Under £50,No Visits,Male,76
Non-responder,70,5,5 Or More Visits,0,Under £50,No Visits,Male,81
Non-responder,77,5,5 Or More Visits,0,Under £50,No Visits,Male,82
Responder,61,4,4 Visits,1,£100-£150,1 Visit,Male,85
Non-responder,75,4,4 Visits,0,Under £50,No Visits,Female,21
Non-responder,88,4,4 Visits,0,Under £50,No Visits,Female,22
Non-responder,120,4,4 Visits,0,Under £50,No Visits,Female,23
Non-responder,83,4,4 Visits,0,Under £50,No Visits,Female,23
Non-responder,67,4,4 Visits,0,Under £50,No Visits,Female,23
Non-responder,54,4,4 Visits,0,Under £50,No Visits,Male,23
Non-responder,77,4,4 Visits,0,Under £50,No Visits,Female,24
Non-responder,92,4,4 Visits,0,Under £50,No Visits,Male,24
Non-responder,74,4,4 Visits,0,Under £50,No Visits,Male,24
